model,duel,chain,draw,source,destination,rate
prior,NFP+/RN+,0,5,ENS+,NON_EXPRIMES,0.010199009673756927
prior,NFP+/RN+,0,5,DVD,NFP+,0.7050880453632127
prior,NFP+/RN+,0,5,DVD,RN+,0.010542402095614273
prior,NFP+/RN+,0,5,DVD,NON_EXPRIMES,0.2843695525411728
prior,NFP+/RN+,0,6,LR,NFP+,0.5733059752240809
prior,NFP+/RN+,0,6,LR,RN+,0.055216520590937096
prior,NFP+/RN+,0,6,LR,NON_EXPRIMES,0.3714775041849818
prior,NFP+/RN+,0,6,ENS+,NFP+,0.5647205687150034
prior,NFP+/RN+,0,6,ENS+,RN+,0.15840334610114262
prior,NFP+/RN+,0,6,ENS+,NON_EXPRIMES,0.276876085183854
prior,NFP+/RN+,0,6,DVD,NFP+,0.2178167073442484
prior,NFP+/RN+,0,6,DVD,RN+,0.5159154021828976
prior,NFP+/RN+,0,6,DVD,NON_EXPRIMES,0.266267890472854
prior,NFP+/RN+,0,7,LR,NFP+,0.8114872969144293
prior,NFP+/RN+,0,7,LR,RN+,0.10399330178023686
prior,NFP+/RN+,0,7,LR,NON_EXPRIMES,0.08451940130533377
prior,NFP+/RN+,0,7,ENS+,NFP+,0.5505067626120064
prior,NFP+/RN+,0,7,ENS+,RN+,0.06383147356686766
prior,NFP+/RN+,0,7,ENS+,NON_EXPRIMES,0.3856617638211261
prior,NFP+/RN+,0,7,DVD,NFP+,0.555608870356589
prior,NFP+/RN+,0,7,DVD,RN+,0.4246897178483086
prior,NFP+/RN+,0,7,DVD,NON_EXPRIMES,0.01970141179510238
prior,NFP+/RN+,0,8,LR,NFP+,0.12966143103977454
prior,NFP+/RN+,0,8,LR,RN+,0.8702284389979328
prior,NFP+/RN+,0,8,LR,NON_EXPRIMES,0.00011012996229260343
prior,NFP+/RN+,0,8,ENS+,NFP+,0.9771339718277067
prior,NFP+/RN+,0,8,ENS+,RN+,0.00423809961406542
prior,NFP+/RN+,0,8,ENS+,NON_EXPRIMES,0.018627928558227737
prior,NFP+/RN+,0,8,DVD,NFP+,0.7611997270475819
prior,NFP+/RN+,0,8,DVD,RN+,0.02797073651679457
prior,NFP+/RN+,0,8,DVD,NON_EXPRIMES,0.2108295364356234
prior,NFP+/RN+,0,9,LR,NFP+,0.36655066259824504
prior,NFP+/RN+,0,9,LR,RN+,0.07178645312390146
prior,NFP+/RN+,0,9,LR,NON_EXPRIMES,0.5616628842778536
prior,NFP+/RN+,0,9,ENS+,NFP+,0.5903788783511008
prior,NFP+/RN+,0,9,ENS+,RN+,0.1460048562590027
prior,NFP+/RN+,0,9,ENS+,NON_EXPRIMES,0.2636162653898966
prior,NFP+/RN+,0,9,DVD,NFP+,0.3914219950509539
prior,NFP+/RN+,0,9,DVD,RN+,0.13008299429270878
prior,NFP+/RN+,0,9,DVD,NON_EXPRIMES,0.47849501065633726
prior,NFP+/RN+,0,10,LR,NFP+,0.868053750219027
prior,NFP+/RN+,0,10,LR,RN+,0.13184839775130827
prior,NFP+/RN+,0,10,LR,NON_EXPRIMES,0.00009785202966466207
prior,NFP+/RN+,0,10,ENS+,NFP+,0.5260409190403836
prior,NFP+/RN+,0,10,ENS+,RN+,0.21394517078229255
prior,NFP+/RN+,0,10,ENS+,NON_EXPRIMES,0.26001391017732356
prior,NFP+/RN+,0,10,DVD,NFP+,0.8085965296817857
prior,NFP+/RN+,0,10,DVD,RN+,0.025272895268852662
prior,NFP+/RN+,0,10,DVD,NON_EXPRIMES,0.16613057504936157
prior,NFP+/RN+,0,11,LR,NFP+,0.16626753321782425
prior,NFP+/RN+,0,11,LR,RN+,0.30431055659641315
prior,NFP+/RN+,0,11,LR,NON_EXPRIMES,0.5294219101857626
prior,NFP+/RN+,0,11,ENS+,NFP+,0.9638176453932309
prior,NFP+/RN+,0,11,ENS+,RN+,0.01458378527013028
prior,NFP+/RN+,0,11,ENS+,NON_EXPRIMES,0.021598569336639218
prior,NFP+/RN+,0,11,DVD,NFP+,0.15279669358311815
prior,NFP+/RN+,0,11,DVD,RN+,0.3214866424514009
prior,NFP+/RN+,0,11,DVD,NON_EXPRIMES,0.525716663965481
prior,NFP+/RN+,0,12,LR,NFP+,0.44040801293673315
prior,NFP+/RN+,0,12,LR,RN+,0.383429488785674
prior,NFP+/RN+,0,12,LR,NON_EXPRIMES,0.17616249827759262
prior,NFP+/RN+,0,12,ENS+,NFP+,0.5789850413996651
prior,NFP+/RN+,0,12,ENS+,RN+,0.257839217399507
prior,NFP+/RN+,0,12,ENS+,NON_EXPRIMES,0.16317574120082792
prior,NFP+/RN+,0,12,DVD,NFP+,0.5303352448783408
prior,NFP+/RN+,0,12,DVD,RN+,0.378367357192026
prior,NFP+/RN+,0,12,DVD,NON_EXPRIMES,0.0912973979296331
prior,NFP+/RN+,0,13,LR,NFP+,0.5900677408023007
prior,NFP+/RN+,0,13,LR,RN+,0.10002516478749256
prior,NFP+/RN+,0,13,LR,NON_EXPRIMES,0.3099070944102068
prior,NFP+/RN+,0,13,ENS+,NFP+,0.6579615747213363
prior,NFP+/RN+,0,13,ENS+,RN+,0.2019612719627039
prior,NFP+/RN+,0,13,ENS+,NON_EXPRIMES,0.14007715331595988
prior,NFP+/RN+,0,13,DVD,NFP+,0.7627691763110531
prior,NFP+/RN+,0,13,DVD,RN+,0.09785504856226182
prior,NFP+/RN+,0,13,DVD,NON_EXPRIMES,0.13937577512668495
prior,NFP+/RN+,0,14,LR,NFP+,0.30222817581295314
prior,NFP+/RN+,0,14,LR,RN+,0.08788915684757258
prior,NFP+/RN+,0,14,LR,NON_EXPRIMES,0.6098826673394743
prior,NFP+/RN+,0,14,ENS+,NFP+,0.45766477247718623
prior,NFP+/RN+,0,14,ENS+,RN+,0.10643395516804229
prior,NFP+/RN+,0,14,ENS+,NON_EXPRIMES,0.4359012723547714
prior,NFP+/RN+,0,14,DVD,NFP+,0.0016143742402112487
prior,NFP+/RN+,0,14,DVD,RN+,0.7774811095421437
prior,NFP+/RN+,0,14,DVD,NON_EXPRIMES,0.2209045162176451
prior,NFP+/RN+,0,15,LR,NFP+,0.49664159253362283
prior,NFP+/RN+,0,15,LR,RN+,0.26394232016741725
prior,NFP+/RN+,0,15,LR,NON_EXPRIMES,0.2394160872989598
prior,NFP+/RN+,0,15,ENS+,NFP+,0.6512296696731122
prior,NFP+/RN+,0,15,ENS+,RN+,0.012869324652442827
prior,NFP+/RN+,0,15,ENS+,NON_EXPRIMES,0.3359010056744449
prior,NFP+/RN+,0,15,DVD,NFP+,0.650835334457565
prior,NFP+/RN+,0,15,DVD,RN+,0.3225026996591839
prior,NFP+/RN+,0,15,DVD,NON_EXPRIMES,0.026661965883251156
prior,NFP+/RN+,0,16,LR,NFP+,0.00911256073940528
prior,NFP+/RN+,0,16,LR,RN+,0.7277737285765793
prior,NFP+/RN+,0,16,LR,NON_EXPRIMES,0.26311371068401546
prior,NFP+/RN+,0,16,ENS+,NFP+,0.5579808574569529
prior,NFP+/RN+,0,16,ENS+,RN+,0.03813661177688963
prior,NFP+/RN+,0,16,ENS+,NON_EXPRIMES,0.40388253076615754
prior,NFP+/RN+,0,16,DVD,NFP+,0.10883021059876317
prior,NFP+/RN+,0,16,DVD,RN+,0.6794378959576285
prior,NFP+/RN+,0,16,DVD,NON_EXPRIMES,0.2117318934436083
prior,NFP+/RN+,0,17,LR,NFP+,0.5944628316888316
prior,NFP+/RN+,0,17,LR,RN+,0.0027848280375930372
prior,NFP+/RN+,0,17,LR,NON_EXPRIMES,0.4027523402735754
prior,NFP+/RN+,0,17,ENS+,NFP+,0.7755274806426347
prior,NFP+/RN+,0,17,ENS+,RN+,0.17186769560658846
prior,NFP+/RN+,0,17,ENS+,NON_EXPRIMES,0.052604823750776755
prior,NFP+/RN+,0,17,DVD,NFP+,0.5204751698308441
prior,NFP+/RN+,0,17,DVD,RN+,0.20205379249393193
prior,NFP+/RN+,0,17,DVD,NON_EXPRIMES,0.2774710376752241
prior,NFP+/RN+,0,18,LR,NFP+,0.02597202311629079
prior,NFP+/RN+,0,18,LR,RN+,0.7293652092405817
prior,NFP+/RN+,0,18,LR,NON_EXPRIMES,0.24466276764312772
prior,NFP+/RN+,0,18,ENS+,NFP+,0.6057028856712185
prior,NFP+/RN+,0,18,ENS+,RN+,0.06943718264433005
prior,NFP+/RN+,0,18,ENS+,NON_EXPRIMES,0.324859931684451
prior,NFP+/RN+,0,18,DVD,NFP+,0.8092553838519734
prior,NFP+/RN+,0,18,DVD,RN+,0.1153832424677514
prior,NFP+/RN+,0,18,DVD,NON_EXPRIMES,0.07536137368027497
prior,NFP+/RN+,0,19,LR,NFP+,0.4844053709955173
prior,NFP+/RN+,0,19,LR,RN+,0.3911668420671195
prior,NFP+/RN+,0,19,LR,NON_EXPRIMES,0.12442778693736314
prior,NFP+/RN+,0,19,ENS+,NFP+,0.8600940236239052
prior,NFP+/RN+,0,19,ENS+,RN+,0.046891223671898574
prior,NFP+/RN+,0,19,ENS+,NON_EXPRIMES,0.09301475270419617
prior,NFP+/RN+,0,19,DVD,NFP+,0.011580309341983123
prior,NFP+/RN+,0,19,DVD,RN+,0.4626357954766159
prior,NFP+/RN+,0,19,DVD,NON_EXPRIMES,0.525783895181401
prior,NFP+/RN+,0,20,LR,NFP+,0.7943485900776446
prior,NFP+/RN+,0,20,LR,RN+,0.0025822539767578214
prior,NFP+/RN+,0,20,LR,NON_EXPRIMES,0.2030691559455976
prior,NFP+/RN+,0,20,ENS+,NFP+,0.9824127548970092
prior,NFP+/RN+,0,20,ENS+,RN+,0.0026118995652370286
prior,NFP+/RN+,0,20,ENS+,NON_EXPRIMES,0.014975345537753985
prior,NFP+/RN+,0,20,DVD,NFP+,0.6624246541429605
prior,NFP+/RN+,0,20,DVD,RN+,0.11263706344317188
prior,NFP+/RN+,0,20,DVD,NON_EXPRIMES,0.22493828241386762
prior,NFP+/RN+,0,21,LR,NFP+,0.42553539310238503
prior,NFP+/RN+,0,21,LR,RN+,0.3458002066942386
prior,NFP+/RN+,0,21,LR,NON_EXPRIMES,0.22866440020337628
prior,NFP+/RN+,0,21,ENS+,NFP+,0.9412144175844519
prior,NFP+/RN+,0,21,ENS+,RN+,0.000952242948080623
prior,NFP+/RN+,0,21,ENS+,NON_EXPRIMES,0.05783333946746744
prior,NFP+/RN+,0,21,DVD,NFP+,0.0351169325092295
prior,NFP+/RN+,0,21,DVD,RN+,0.35729923137965786
prior,NFP+/RN+,0,21,DVD,NON_EXPRIMES,0.6075838361111129
prior,NFP+/RN+,0,22,LR,NFP+,0.7544063290367283
prior,NFP+/RN+,0,22,LR,RN+,0.03778383301014366
prior,NFP+/RN+,0,22,LR,NON_EXPRIMES,0.2078098379531278
prior,NFP+/RN+,0,22,ENS+,NFP+,0.5074150929500841
prior,NFP+/RN+,0,22,ENS+,RN+,0.10089161359339575
prior,NFP+/RN+,0,22,ENS+,NON_EXPRIMES,0.39169329345652
prior,NFP+/RN+,0,22,DVD,NFP+,0.005377873205332
prior,NFP+/RN+,0,22,DVD,RN+,0.37276104483566325
prior,NFP+/RN+,0,22,DVD,NON_EXPRIMES,0.6218610819590046
prior,NFP+/RN+,0,23,LR,NFP+,0.017739443185943442
prior,NFP+/RN+,0,23,LR,RN+,0.4064066167346928
prior,NFP+/RN+,0,23,LR,NON_EXPRIMES,0.5758539400793639
prior,NFP+/RN+,0,23,ENS+,NFP+,0.906929060453713
prior,NFP+/RN+,0,23,ENS+,RN+,0.0743417162655395
prior,NFP+/RN+,0,23,ENS+,NON_EXPRIMES,0.018729223280747782
prior,NFP+/RN+,0,23,DVD,NFP+,0.21833349539966826
prior,NFP+/RN+,0,23,DVD,RN+,0.05556876093231158
prior,NFP+/RN+,0,23,DVD,NON_EXPRIMES,0.7260977436680202
prior,NFP+/RN+,0,24,LR,NFP+,0.20165930784848096
prior,NFP+/RN+,0,24,LR,RN+,0.14363439116330584
prior,NFP+/RN+,0,24,LR,NON_EXPRIMES,0.6547063009882133
prior,NFP+/RN+,0,24,ENS+,NFP+,0.49109119449112504
prior,NFP+/RN+,0,24,ENS+,RN+,0.2964771829121867
prior,NFP+/RN+,0,24,ENS+,NON_EXPRIMES,0.21243162259668824
prior,NFP+/RN+,0,24,DVD,NFP+,0.37938714025111375
prior,NFP+/RN+,0,24,DVD,RN+,0.3084391734092305
prior,NFP+/RN+,0,24,DVD,NON_EXPRIMES,0.3121736863396558
prior,NFP+/RN+,0,25,LR,NFP+,0.780534242968542
prior,NFP+/RN+,0,25,LR,RN+,0.17199602503462416
prior,NFP+/RN+,0,25,LR,NON_EXPRIMES,0.04746973199683386
prior,NFP+/RN+,0,25,ENS+,NFP+,0.5139248332540292
prior,NFP+/RN+,0,25,ENS+,RN+,0.4821837796484113
prior,NFP+/RN+,0,25,ENS+,NON_EXPRIMES,0.0038913870975594922
prior,NFP+/RN+,0,25,DVD,NFP+,0.36021556065560073
prior,NFP+/RN+,0,25,DVD,RN+,0.10192712950821703
prior,NFP+/RN+,0,25,DVD,NON_EXPRIMES,0.5378573098361824
prior,NFP+/RN+,0,26,LR,NFP+,0.02068057437326602
prior,NFP+/RN+,0,26,LR,RN+,0.497698474629735
prior,NFP+/RN+,0,26,LR,NON_EXPRIMES,0.4816209509969992
prior,NFP+/RN+,0,26,ENS+,NFP+,0.9605036658638496
prior,NFP+/RN+,0,26,ENS+,RN+,0.02626655389225738
prior,NFP+/RN+,0,26,ENS+,NON_EXPRIMES,0.013229780243893133
prior,NFP+/RN+,0,26,DVD,NFP+,0.538812024194077
prior,NFP+/RN+,0,26,DVD,RN+,0.055358615375958146
prior,NFP+/RN+,0,26,DVD,NON_EXPRIMES,0.40582936042996476
prior,NFP+/RN+,0,27,LR,NFP+,0.15541506984815645
prior,NFP+/RN+,0,27,LR,RN+,0.5807358717743797
prior,NFP+/RN+,0,27,LR,NON_EXPRIMES,0.26384905837746386
prior,NFP+/RN+,0,27,ENS+,NFP+,0.41608006597512076
prior,NFP+/RN+,0,27,ENS+,RN+,0.2567533053406091
prior,NFP+/RN+,0,27,ENS+,NON_EXPRIMES,0.3271666286842702
prior,NFP+/RN+,0,27,DVD,NFP+,0.21178154634103633
prior,NFP+/RN+,0,27,DVD,RN+,0.4794636092987208
prior,NFP+/RN+,0,27,DVD,NON_EXPRIMES,0.3087548443602428
prior,NFP+/RN+,0,28,LR,NFP+,0.2584831913975955
prior,NFP+/RN+,0,28,LR,RN+,0.25011423230245095
prior,NFP+/RN+,0,28,LR,NON_EXPRIMES,0.49140257629995354
prior,NFP+/RN+,0,28,ENS+,NFP+,0.8985105139653514
prior,NFP+/RN+,0,28,ENS+,RN+,0.019276464090521177
prior,NFP+/RN+,0,28,ENS+,NON_EXPRIMES,0.08221302194412727
prior,NFP+/RN+,0,28,DVD,NFP+,0.9767100523552208
prior,NFP+/RN+,0,28,DVD,RN+,0.012480381674451289
prior,NFP+/RN+,0,28,DVD,NON_EXPRIMES,0.010809565970327884
prior,NFP+/RN+,0,29,LR,NFP+,0.020870815598361236
prior,NFP+/RN+,0,29,LR,RN+,0.12013570980690108
prior,NFP+/RN+,0,29,LR,NON_EXPRIMES,0.8589934745947378
prior,NFP+/RN+,0,29,ENS+,NFP+,0.8012782141417512
prior,NFP+/RN+,0,29,ENS+,RN+,0.18897121557637997
prior,NFP+/RN+,0,29,ENS+,NON_EXPRIMES,0.009750570281869134
prior,NFP+/RN+,0,29,DVD,NFP+,0.050489176143052705
prior,NFP+/RN+,0,29,DVD,RN+,0.6674895816813808
prior,NFP+/RN+,0,29,DVD,NON_EXPRIMES,0.28202124217556623
prior,NFP+/RN+,0,30,LR,NFP+,0.16212445798884612
prior,NFP+/RN+,0,30,LR,RN+,0.2621503060743203
prior,NFP+/RN+,0,30,LR,NON_EXPRIMES,0.5757252359368337
prior,NFP+/RN+,0,30,ENS+,NFP+,0.9702959955433397
prior,NFP+/RN+,0,30,ENS+,RN+,0.01675984153537843
prior,NFP+/RN+,0,30,ENS+,NON_EXPRIMES,0.012944162921281897
prior,NFP+/RN+,0,30,DVD,NFP+,0.5150753497183568
prior,NFP+/RN+,0,30,DVD,RN+,0.09624066270811513
prior,NFP+/RN+,0,30,DVD,NON_EXPRIMES,0.38868398757352823
prior,NFP+/RN+,0,31,LR,NFP+,0.009670500299251261
prior,NFP+/RN+,0,31,LR,RN+,0.4046768583564083
prior,NFP+/RN+,0,31,LR,NON_EXPRIMES,0.5856526413443403
prior,NFP+/RN+,0,31,ENS+,NFP+,0.9123011781485453
prior,NFP+/RN+,0,31,ENS+,RN+,0.05585972831464668
prior,NFP+/RN+,0,31,ENS+,NON_EXPRIMES,0.03183909353680795
prior,NFP+/RN+,0,31,DVD,NFP+,0.18256910475128116
prior,NFP+/RN+,0,31,DVD,RN+,0.4938409114346588
prior,NFP+/RN+,0,31,DVD,NON_EXPRIMES,0.32358998381405996
prior,NFP+/RN+,0,32,LR,NFP+,0.0216065007250022
prior,NFP+/RN+,0,32,LR,RN+,0.04377184505597941
prior,NFP+/RN+,0,32,LR,NON_EXPRIMES,0.9346216542190184
prior,NFP+/RN+,0,32,ENS+,NFP+,0.6827095478977913
prior,NFP+/RN+,0,32,ENS+,RN+,0.00029154904885981284
prior,NFP+/RN+,0,32,ENS+,NON_EXPRIMES,0.3169989030533487
prior,NFP+/RN+,0,32,DVD,NFP+,0.7142379573406092
prior,NFP+/RN+,0,32,DVD,RN+,0.10611615967980681
prior,NFP+/RN+,0,32,DVD,NON_EXPRIMES,0.1796458829795838
prior,NFP+/RN+,0,33,LR,NFP+,0.1439500218065512
prior,NFP+/RN+,0,33,LR,RN+,0.7126469581721617
prior,NFP+/RN+,0,33,LR,NON_EXPRIMES,0.14340302002128702
prior,NFP+/RN+,0,33,ENS+,NFP+,0.5132191003209708
prior,NFP+/RN+,0,33,ENS+,RN+,0.36749390183088876
prior,NFP+/RN+,0,33,ENS+,NON_EXPRIMES,0.11928699784814044
prior,NFP+/RN+,0,33,DVD,NFP+,0.250453032270387
prior,NFP+/RN+,0,33,DVD,RN+,0.1562790017228823
prior,NFP+/RN+,0,33,DVD,NON_EXPRIMES,0.5932679660067307
prior,NFP+/RN+,0,34,LR,NFP+,0.5432880085183119
prior,NFP+/RN+,0,34,LR,RN+,0.33691822157471946
prior,NFP+/RN+,0,34,LR,NON_EXPRIMES,0.11979376990696856
prior,NFP+/RN+,0,34,ENS+,NFP+,0.6006718810416743
prior,NFP+/RN+,0,34,ENS+,RN+,0.11059929720203807
prior,NFP+/RN+,0,34,ENS+,NON_EXPRIMES,0.2887288217562877
prior,NFP+/RN+,0,34,DVD,NFP+,0.22430434057480714
prior,NFP+/RN+,0,34,DVD,RN+,0.3545674518276083
prior,NFP+/RN+,0,34,DVD,NON_EXPRIMES,0.4211282075975846
prior,NFP+/RN+,0,35,LR,NFP+,0.04367168367890193
prior,NFP+/RN+,0,35,LR,RN+,0.7324287455763556
prior,NFP+/RN+,0,35,LR,NON_EXPRIMES,0.22389957074474237
prior,NFP+/RN+,0,35,ENS+,NFP+,0.521092426912675
prior,NFP+/RN+,0,35,ENS+,RN+,0.2704345313616176
prior,NFP+/RN+,0,35,ENS+,NON_EXPRIMES,0.20847304172570755
prior,NFP+/RN+,0,35,DVD,NFP+,0.011910713514810817
prior,NFP+/RN+,0,35,DVD,RN+,0.348842152901572
prior,NFP+/RN+,0,35,DVD,NON_EXPRIMES,0.6392471335836172
prior,NFP+/RN+,0,36,LR,NFP+,0.4549237467555773
prior,NFP+/RN+,0,36,LR,RN+,0.440515614505521
prior,NFP+/RN+,0,36,LR,NON_EXPRIMES,0.10456063873890153
prior,NFP+/RN+,0,36,ENS+,NFP+,0.5252199212862046
prior,NFP+/RN+,0,36,ENS+,RN+,0.29313910106539637
prior,NFP+/RN+,0,36,ENS+,NON_EXPRIMES,0.18164097764839884
prior,NFP+/RN+,0,36,DVD,NFP+,0.22108974263048767
prior,NFP+/RN+,0,36,DVD,RN+,0.36274152157361916
prior,NFP+/RN+,0,36,DVD,NON_EXPRIMES,0.4161687357958933
prior,NFP+/RN+,0,37,LR,NFP+,0.3967418840847084
prior,NFP+/RN+,0,37,LR,RN+,0.5441786562325867
prior,NFP+/RN+,0,37,LR,NON_EXPRIMES,0.0590794596827048
prior,NFP+/RN+,0,37,ENS+,NFP+,0.741004499298829
prior,NFP+/RN+,0,37,ENS+,RN+,0.036378561735988614
prior,NFP+/RN+,0,37,ENS+,NON_EXPRIMES,0.2226169389651824
prior,NFP+/RN+,0,37,DVD,NFP+,0.4505529445434554
prior,NFP+/RN+,0,37,DVD,RN+,0.19896978206258234
prior,NFP+/RN+,0,37,DVD,NON_EXPRIMES,0.35047727339396223
prior,NFP+/RN+,0,38,LR,NFP+,0.002122492969855032
prior,NFP+/RN+,0,38,LR,RN+,0.7480984610793261
prior,NFP+/RN+,0,38,LR,NON_EXPRIMES,0.24977904595081907
prior,NFP+/RN+,0,38,ENS+,NFP+,0.4774896270257401
prior,NFP+/RN+,0,38,ENS+,RN+,0.40749027725506837
prior,NFP+/RN+,0,38,ENS+,NON_EXPRIMES,0.11502009571919167
prior,NFP+/RN+,0,38,DVD,NFP+,0.24371675067899
prior,NFP+/RN+,0,38,DVD,RN+,0.39623117248193035
prior,NFP+/RN+,0,38,DVD,NON_EXPRIMES,0.36005207683907964
prior,NFP+/RN+,0,39,LR,NFP+,0.18558497666032547
prior,NFP+/RN+,0,39,LR,RN+,0.4751571276568589
prior,NFP+/RN+,0,39,LR,NON_EXPRIMES,0.3392578956828156
prior,NFP+/RN+,0,39,ENS+,NFP+,0.7430822056040415
prior,NFP+/RN+,0,39,ENS+,RN+,0.04374428477343347
prior,NFP+/RN+,0,39,ENS+,NON_EXPRIMES,0.21317350962252496
prior,NFP+/RN+,0,39,DVD,NFP+,0.3620044325871286
prior,NFP+/RN+,0,39,DVD,RN+,0.50039003970532
prior,NFP+/RN+,0,39,DVD,NON_EXPRIMES,0.13760552770755138
prior,NFP+/RN+,0,40,LR,NFP+,0.0007603600264227436
prior,NFP+/RN+,0,40,LR,RN+,0.33877217039533436
prior,NFP+/RN+,0,40,LR,NON_EXPRIMES,0.6604674695782428
prior,NFP+/RN+,0,40,ENS+,NFP+,0.5042841781261329
prior,NFP+/RN+,0,40,ENS+,RN+,0.38243575925704976
prior,NFP+/RN+,0,40,ENS+,NON_EXPRIMES,0.11328006261681724
prior,NFP+/RN+,0,40,DVD,NFP+,0.6757271978698014
prior,NFP+/RN+,0,40,DVD,RN+,0.026850338086706865
prior,NFP+/RN+,0,40,DVD,NON_EXPRIMES,0.2974224640434915
prior,NFP+/RN+,0,41,LR,NFP+,0.47152553858167806
prior,NFP+/RN+,0,41,LR,RN+,0.4057932385831304
prior,NFP+/RN+,0,41,LR,NON_EXPRIMES,0.12268122283519152
prior,NFP+/RN+,0,41,ENS+,NFP+,0.6755437098718309
prior,NFP+/RN+,0,41,ENS+,RN+,0.000370712621738859
prior,NFP+/RN+,0,41,ENS+,NON_EXPRIMES,0.32408557750643036
prior,NFP+/RN+,0,41,DVD,NFP+,0.5221215929700107
prior,NFP+/RN+,0,41,DVD,RN+,0.018375910498032968
prior,NFP+/RN+,0,41,DVD,NON_EXPRIMES,0.45950249653195613
prior,NFP+/RN+,0,42,LR,NFP+,0.007477380920057461
prior,NFP+/RN+,0,42,LR,RN+,0.371821208336686
prior,NFP+/RN+,0,42,LR,NON_EXPRIMES,0.6207014107432565
prior,NFP+/RN+,0,42,ENS+,NFP+,0.6274793837762372
prior,NFP+/RN+,0,42,ENS+,RN+,0.25109107393971003
prior,NFP+/RN+,0,42,ENS+,NON_EXPRIMES,0.12142954228405288
prior,NFP+/RN+,0,42,DVD,NFP+,0.20420397943095167
prior,NFP+/RN+,0,42,DVD,RN+,0.4057747176262366
prior,NFP+/RN+,0,42,DVD,NON_EXPRIMES,0.39002130294281173
prior,NFP+/RN+,0,43,LR,NFP+,0.05602445288661854
prior,NFP+/RN+,0,43,LR,RN+,0.3737071089658628
prior,NFP+/RN+,0,43,LR,NON_EXPRIMES,0.5702684381475186
prior,NFP+/RN+,0,43,ENS+,NFP+,0.4608054255292907
prior,NFP+/RN+,0,43,ENS+,RN+,0.1933171594195026
